iter	RMSE
0	28064.25377
1	27714.68452
2	27565.04175
3	27345.60263
4	26939.98829
5	26809.79184
6	26618.47232
7	26415.65105
8	26328.6336
9	26179.18441
10	25934.0751
11	25626.46386
12	25466.30753
13	25286.50318
14	25181.5283
15	24892.81621
16	24757.0657
17	24629.6738
18	24505.68807
19	24288.03895
20	24102.6691
21	23868.75251
22	23629.09363
23	23380.33442
24	23172.67215
25	22975.1733
26	22847.17539
27	22677.68501
28	22569.92299
29	22486.06518
30	22391.22747
31	22194.5175
32	22111.60313
33	21944.19046
34	21848.71832
35	21658.17045
36	21588.38851
37	21395.50769
38	21302.5751
39	21158.64519
40	21116.68635
41	21058.92256
42	20911.04869
43	20645.93411
44	20478.08123
45	20379.38748
46	20236.48823
47	20146.07286
48	20076.60154
49	19928.82585
50	19847.92192
51	19784.77713
52	19670.4581
53	19469.55863
54	19188.52985
55	19112.70994
56	19051.78296
57	18783.99216
58	18733.35805
59	18684.96582
60	18635.46091
61	18583.11357
62	18516.71467
63	18459.71298
64	18287.42401
65	18133.43111
66	18082.34834
67	18040.48994
68	18002.04974
69	17943.63493
70	17717.04526
71	17351.32178
72	17316.62994
73	17275.23926
74	16971.42485
75	16677.57533
76	16479.57647
77	16391.58865
78	16217.20517
79	15964.62991
80	15921.97132
81	15771.58903
82	15709.68343
83	15492.00145
84	15457.53111
85	15320.84406
86	15282.08254
87	15250.9108
88	15180.92664
89	15145.24261
90	14923.02351
91	14889.93639
92	14712.51469
93	14659.31192
94	14617.47707
95	14372.16055
96	14216.40612
97	14059.61769
98	14024.66837
99	13898.35324
100	13864.69776
101	13646.05343
102	13609.8398
103	13421.8376
104	13256.45941
105	13085.76786
106	12906.48932
107	12873.61063
108	12843.75644
109	12816.22041
110	12736.25906
111	12711.18231
112	12548.80116
113	12518.06854
114	12498.55995
115	12350.67201
116	12211.00515
117	12149.73648
118	12130.54822
119	11965.00345
120	11917.27897
121	11777.01356
122	11647.86199
123	11634.57915
124	11607.03212
125	11455.97085
126	11345.05915
127	11190.75447
128	11053.53633
129	10936.7427
130	10907.33342
131	10882.83352
132	10792.68849
133	10775.55803
134	10657.39998
135	10529.69277
136	10512.2798
137	10383.00174
138	10349.34593
139	10334.14541
140	10218.53774
141	10101.27142
142	9997.686028
143	9901.977828
144	9786.258486
145	9753.992003
146	9652.81642
147	9574.367594
148	9552.508729
149	9462.855716
150	9364.657813
151	9299.660177
152	9271.409565
153	9163.065459
154	9032.720008
155	8884.953178
156	8796.982247
157	8718.368995
158	8626.29255
159	8508.630864
160	8472.255883
161	8381.315774
162	8283.781361
163	8183.192078
164	8071.602436
165	8048.519208
166	7996.940797
167	7978.17911
168	7963.224193
169	7873.907608
170	7787.54966
171	7775.040269
172	7696.426082
173	7685.0275
174	7668.487904
175	7630.579331
176	7566.233524
177	7489.995067
178	7422.265992
179	7357.614804
180	7234.11759
181	7156.355736
182	7142.872211
183	7126.022017
184	7110.473707
185	7034.398916
186	6954.98614
187	6927.407851
188	6903.466963
189	6895.799118
190	6789.48391
191	6770.94393
192	6713.254522
193	6651.344307
194	6592.661988
195	6543.75778
196	6503.80631
197	6455.142152
198	6447.18804
199	6411.942984
200	6403.555423
201	6362.890021
202	6271.996644
203	6260.298166
204	6252.460495
205	6235.034625
206	6163.904367
207	6079.036458
208	6053.545394
209	5964.165619
210	5934.65418
211	5890.521386
212	5880.670363
213	5823.301004
214	5757.149288
215	5702.255069
216	5641.711652
217	5582.063122
218	5569.178095
219	5516.272781
220	5503.788605
221	5429.524436
222	5398.872418
223	5369.082517
224	5355.544584
225	5350.389493
226	5326.241416
227	5309.882806
228	5266.444704
229	5256.097113
230	5223.431456
231	5210.884527
232	5198.951899
233	5188.376303
234	5153.802309
235	5145.201169
236	5074.133547
237	5048.258241
238	5036.239881
239	5031.136729
240	4982.406063
241	4978.36553
242	4928.001356
243	4920.674127
244	4909.555712
245	4862.035023
246	4796.723557
247	4788.66756
248	4746.310559
249	4686.84784
250	4677.889766
251	4671.159992
252	4663.55152
253	4616.612792
254	4610.449847
255	4565.054463
256	4546.082011
257	4536.830686
258	4489.65323
259	4484.193739
260	4441.416388
261	4431.468741
262	4390.890386
263	4343.597461
264	4325.830465
265	4322.322333
266	4280.37175
267	4274.637248
268	4258.206218
269	4230.112181
270	4223.216617
271	4211.883428
272	4167.517818
273	4150.875845
274	4142.397641
275	4121.953759
276	4078.021779
277	4056.782149
278	4033.78776
279	4025.790733
280	3992.707885
281	3958.441315
282	3955.202705
283	3946.866126
284	3916.791197
285	3911.001324
286	3907.586777
287	3891.885475
288	3883.867646
289	3852.270082
290	3844.731474
291	3798.743541
292	3766.694781
293	3738.843809
294	3735.596105
295	3705.460364
296	3696.044726
297	3680.590586
298	3647.329459
299	3644.916823
300	3615.537267
301	3598.154601
302	3569.673347
303	3537.067499
304	3504.913464
305	3487.203016
306	3458.445728
307	3426.781471
308	3417.372396
309	3389.543047
310	3364.368099
311	3321.630121
312	3312.315664
313	3307.026248
314	3285.080102
315	3271.942801
316	3262.616301
317	3257.346398
318	3230.266288
319	3193.900879
320	3165.880501
321	3154.021829
322	3128.433974
323	3123.359254
324	3104.476347
325	3087.490238
326	3072.957708
327	3049.457726
328	3031.581582
329	3002.854812
330	2998.056921
331	2973.093691
332	2944.698831
333	2934.816819
334	2921.496966
335	2905.356582
336	2899.636746
337	2887.737169
338	2858.937163
339	2821.319639
340	2815.038372
341	2779.717147
342	2761.762149
343	2757.552059
344	2743.130186
345	2739.725301
346	2718.140215
