iter	Passed	Remaining
0	0	91
1	0	72
2	0	66
3	0	62
4	0	58
5	0	56
6	0	55
7	0	53
8	1	53
9	1	52
10	1	51
11	1	50
12	1	50
13	1	49
14	1	49
15	1	48
16	1	48
17	2	48
18	2	47
19	2	47
20	2	47
21	2	47
22	2	47
23	2	50
24	2	49
25	3	49
26	3	49
27	3	48
28	3	48
29	3	48
30	3	48
31	3	47
32	3	47
33	3	47
34	3	47
35	4	46
36	4	46
37	4	46
38	4	46
39	4	46
40	4	45
41	4	45
42	4	45
43	4	45
44	4	44
45	5	44
46	5	44
47	5	44
48	5	44
49	5	44
50	5	43
51	5	43
52	5	43
53	5	43
54	6	43
55	6	42
56	6	42
57	6	42
58	6	42
59	6	42
60	6	42
61	6	42
62	6	41
63	6	41
64	7	41
65	7	41
66	7	41
67	7	41
68	7	40
69	7	40
70	7	40
71	7	40
72	7	40
73	7	40
74	8	40
75	8	40
76	8	40
77	8	41
78	8	41
79	8	41
80	9	41
81	9	41
82	9	41
83	9	41
84	9	41
85	10	45
86	10	45
87	11	45
88	11	45
89	11	45
90	11	45
91	11	45
92	11	45
93	11	45
94	12	44
95	12	44
96	12	44
97	12	44
98	12	44
99	12	44
100	12	44
101	12	43
102	12	43
103	13	43
104	13	43
105	13	43
106	13	42
107	13	42
108	13	42
109	13	42
110	13	42
111	13	42
112	14	42
113	14	41
114	14	41
115	14	41
116	14	41
117	14	41
118	14	40
119	14	40
120	14	40
121	15	40
122	15	40
123	15	39
124	15	39
125	15	39
126	15	39
127	15	39
128	15	39
129	15	38
130	15	38
131	16	38
132	16	38
133	16	38
134	16	38
135	16	37
136	16	37
137	16	37
138	16	37
139	16	37
140	16	37
141	17	36
142	17	36
143	17	36
144	17	36
145	17	36
146	17	36
147	17	36
148	17	35
149	17	35
150	17	35
151	18	35
152	18	35
153	18	35
154	18	34
155	18	34
156	18	34
157	18	34
158	18	34
159	18	34
160	18	34
161	19	33
162	19	33
163	19	33
164	19	33
165	19	33
166	19	33
167	19	33
168	19	32
169	19	32
170	20	32
171	20	32
172	20	32
173	20	32
174	20	32
175	20	31
176	20	31
177	20	31
178	20	31
179	20	31
180	21	31
181	21	31
182	21	30
183	21	30
184	21	30
185	21	30
186	21	30
187	21	30
188	21	30
189	21	30
190	22	29
191	22	29
192	22	29
193	22	29
194	22	29
195	22	29
196	22	29
197	23	29
198	23	29
199	23	29
200	23	29
201	23	28
202	23	28
203	23	28
204	23	28
205	24	28
206	24	28
207	24	28
208	24	28
209	24	28
210	24	27
211	24	27
212	24	27
213	25	27
214	25	27
215	25	27
216	25	27
217	25	27
218	25	27
219	25	26
220	25	26
221	25	26
222	26	26
223	26	26
224	26	26
225	26	26
226	26	26
227	26	25
228	26	25
229	26	25
230	26	25
231	27	25
232	27	25
233	27	25
234	27	25
235	27	24
236	27	24
237	27	24
238	27	24
239	27	24
240	27	24
241	28	24
242	28	24
243	28	23
244	28	23
245	28	23
246	28	23
247	28	23
248	28	23
249	28	23
250	28	22
251	29	22
252	29	22
253	29	22
254	29	22
255	29	22
256	29	22
257	29	22
258	29	22
259	29	21
260	30	21
261	30	21
262	30	21
263	30	21
264	30	21
265	30	21
266	30	21
267	30	20
268	30	20
269	30	20
270	31	20
271	31	20
272	31	20
273	31	20
274	31	20
275	31	19
276	31	19
277	31	19
278	31	19
279	31	19
280	32	19
281	32	19
282	32	19
283	32	18
284	32	18
285	32	18
286	32	18
287	32	18
288	32	18
289	32	18
290	33	18
291	33	17
292	33	17
293	33	17
294	33	17
295	33	17
296	33	17
297	33	17
298	33	17
299	33	16
300	34	16
301	34	16
302	34	16
303	34	16
304	34	16
305	34	16
306	34	16
307	34	16
308	34	15
309	34	15
310	35	15
311	35	15
312	35	15
313	35	15
314	35	15
315	35	15
316	35	14
317	35	14
318	35	14
319	36	14
320	36	14
321	36	14
322	36	14
323	36	14
324	36	14
325	37	14
326	37	13
327	37	13
328	37	13
329	37	13
330	37	13
331	37	13
332	37	13
333	38	13
334	38	13
335	38	12
336	38	12
337	38	12
338	38	12
339	38	12
340	39	12
341	39	12
342	39	12
343	39	12
344	39	12
345	39	11
346	39	11
347	39	11
348	40	11
349	40	11
350	40	11
351	40	11
352	40	11
353	40	11
354	40	10
355	40	10
356	40	10
357	41	10
358	41	10
359	41	10
360	41	10
361	41	10
362	41	9
363	41	9
364	41	9
365	41	9
366	41	9
367	42	9
368	42	9
369	42	9
370	42	9
371	42	8
372	42	8
373	42	8
374	42	8
375	42	8
376	43	8
377	43	8
378	43	8
379	43	7
380	43	7
381	43	7
382	43	7
383	43	7
384	43	7
385	44	7
386	44	7
387	44	7
388	44	6
389	44	6
390	44	6
391	44	6
392	44	6
393	44	6
394	44	6
395	45	6
396	45	6
397	45	5
398	45	5
399	45	5
400	45	5
401	45	5
402	45	5
403	46	5
404	46	5
405	46	5
406	46	4
407	46	4
408	46	4
409	46	4
410	46	4
411	46	4
412	46	4
413	47	4
414	47	3
415	47	3
416	47	3
417	47	3
418	47	3
419	47	3
420	47	3
421	47	3
422	47	3
423	48	2
424	48	2
425	48	2
426	48	2
427	48	2
428	48	2
429	48	2
430	48	2
431	48	2
432	48	1
433	49	1
434	49	1
435	49	1
436	49	1
437	49	1
438	49	1
439	49	1
440	49	1
441	49	0
442	50	0
443	50	0
444	50	0
445	50	0
446	50	0
447	50	0
448	50	0
449	50	0
