iter	RMSE
0	72617.76568
1	64504.31603
2	58169.5849
3	53187.45201
4	48902.18311
5	45345.61629
6	42487.19307
7	39771.33668
8	36967.91093
9	35013.73375
10	33076.4802
11	31636.48149
12	30327.82888
13	29365.92094
14	28238.30516
15	27562.78533
16	26888.18987
17	26313.52008
18	25659.37071
19	25005.32973
20	24541.25452
21	24150.56975
22	23668.44756
23	23168.11458
24	22776.07496
25	22512.89503
26	22203.7288
27	21873.34942
28	21671.5895
29	21477.81089
30	21320.38164
31	21114.37295
32	20816.56962
33	20521.32418
34	20396.89028
35	20086.64616
36	19792.5498
37	19578.40956
38	19374.84247
39	19123.61982
40	18863.0528
41	18729.10473
42	18533.54915
43	18344.03279
44	18181.69012
45	18049.78958
46	17838.80755
47	17577.64026
48	17459.16464
49	17281.88297
50	17088.81343
51	16752.05388
52	16557.54317
53	16447.83061
54	16317.11302
55	16114.95555
56	15975.15948
57	15718.28605
58	15623.29127
59	15574.00953
60	15417.72281
61	15264.32761
62	15097.98753
63	14912.29585
64	14803.04463
65	14732.60796
66	14601.67387
67	14535.98162
68	14379.91025
69	14230.34218
70	14134.47404
71	14036.79953
72	13894.86769
73	13757.76651
74	13622.80257
75	13516.49734
76	13442.4565
77	13364.80616
78	13256.38541
79	13149.9431
80	13016.33369
81	12961.27535
82	12804.51114
83	12689.0651
84	12559.57723
85	12501.24525
86	12409.98266
87	12333.11058
88	12287.92148
89	12165.49856
90	12101.42211
91	12037.78335
92	11935.88697
93	11851.64555
94	11726.80261
95	11631.17919
96	11579.8075
97	11502.90686
98	11432.98031
99	11386.3875
100	11273.97174
101	11185.02491
102	11113.53364
103	10991.49845
104	10901.92731
105	10845.32215
106	10744.54582
107	10649.81064
108	10587.59996
109	10518.07664
110	10448.99012
111	10367.32595
112	10302.52081
113	10229.63203
114	10171.26571
115	10096.00276
116	10010.91227
117	9923.455455
118	9870.401457
119	9842.27675
120	9792.597231
121	9730.568961
122	9686.930241
123	9641.051872
124	9557.025666
125	9472.901589
126	9414.650532
127	9350.14907
128	9317.872438
129	9303.796481
130	9251.495042
131	9223.35259
132	9182.518859
133	9122.946673
134	9072.84065
135	9032.578969
136	8993.685291
137	8952.511904
138	8904.944335
139	8849.796585
140	8804.970365
141	8765.848158
142	8753.805516
143	8714.532621
144	8665.98959
145	8619.072721
146	8564.866587
147	8501.154047
148	8468.181519
149	8410.867195
150	8380.561151
151	8312.581515
152	8263.684824
153	8176.300776
154	8145.815083
155	8094.946966
156	8077.859183
157	8018.755554
158	7955.084535
159	7920.145634
160	7884.326832
161	7818.197395
162	7761.228591
163	7731.58363
164	7709.473712
165	7672.597907
166	7616.797123
167	7606.530237
168	7575.521444
169	7522.717988
170	7481.341436
171	7437.452152
172	7407.545439
173	7347.569203
174	7298.108954
175	7256.642263
176	7233.880816
177	7205.690426
178	7163.203665
179	7124.874157
180	7096.389153
181	7048.942169
182	6966.579475
183	6942.856842
184	6919.013834
185	6894.295581
186	6866.281536
187	6833.762225
188	6816.236384
189	6805.053789
190	6794.977161
191	6741.412581
192	6715.118011
193	6698.89208
194	6683.590241
195	6667.254572
196	6620.373527
197	6563.05236
198	6554.179429
199	6509.888795
200	6471.936274
201	6437.172293
202	6404.837233
203	6386.052819
204	6350.302662
205	6345.749154
206	6319.954111
207	6257.809866
208	6233.370991
209	6215.022705
210	6198.277954
211	6172.013076
212	6141.917137
213	6093.963397
214	6055.529333
215	6046.161652
216	6025.975259
217	5999.029384
218	5973.693579
219	5925.933505
220	5896.242614
221	5859.941915
222	5829.605101
223	5790.298254
224	5773.499647
225	5760.570328
226	5724.969115
227	5702.37467
228	5686.349392
229	5677.267892
230	5638.445555
231	5596.555859
232	5583.073905
233	5577.418728
234	5546.915481
235	5516.842425
236	5511.098605
237	5489.309237
238	5461.652834
239	5428.04874
240	5406.801939
241	5368.393802
242	5329.076113
243	5300.282619
244	5275.233931
245	5252.172229
246	5246.444151
247	5219.037284
248	5196.684645
249	5193.313762
250	5154.736879
251	5143.689563
252	5129.602497
253	5088.963788
254	5059.89106
255	5018.466126
256	4990.308583
257	4986.237318
258	4955.781947
259	4942.857496
260	4936.36403
261	4919.540249
262	4887.17024
263	4856.217148
264	4817.684072
265	4791.839448
266	4790.071289
267	4776.467014
268	4757.003097
269	4739.046701
270	4715.077566
271	4699.707423
272	4675.589054
273	4651.285343
274	4639.456584
275	4624.400412
276	4591.938019
277	4568.113768
278	4546.53498
279	4525.831964
280	4498.455735
281	4475.376436
282	4446.910252
283	4431.434396
284	4429.475829
285	4414.947882
286	4387.806911
287	4347.881142
288	4328.342609
289	4300.674166
290	4289.036806
291	4279.132478
292	4260.680339
293	4241.351923
294	4196.350287
295	4186.290108
296	4179.774853
297	4161.949135
298	4125.397102
299	4106.556923
300	4098.543279
301	4075.40517
302	4073.160391
303	4053.932305
304	4035.512042
305	4008.399992
306	3989.560641
307	3972.619577
308	3958.402324
309	3939.888066
310	3921.352225
311	3900.226323
312	3888.995832
313	3874.017399
314	3840.208555
315	3838.080477
316	3811.312315
317	3782.925485
318	3766.850602
319	3752.69407
320	3750.125555
321	3732.513423
322	3713.846601
323	3707.734542
324	3690.359857
325	3677.492013
326	3664.630588
327	3649.298794
328	3646.98269
329	3626.195899
330	3603.757656
331	3598.468014
332	3586.912454
333	3585.75116
334	3570.78177
335	3552.524299
336	3545.453794
337	3537.730464
338	3522.959068
339	3516.924625
340	3497.341483
341	3470.807045
342	3458.256635
343	3444.894925
344	3441.292076
345	3420.604774
346	3403.860494
347	3394.994428
348	3372.971097
349	3371.828057
350	3359.124976
351	3337.945296
352	3319.390295
353	3301.894164
354	3278.912757
355	3263.870799
356	3249.198946
357	3230.28415
358	3218.434466
359	3215.792798
360	3211.298839
361	3201.259343
362	3199.694618
363	3187.100884
364	3184.074413
365	3165.088402
366	3155.536146
367	3141.065065
368	3128.735911
369	3121.623843
370	3107.93097
371	3095.81367
372	3094.716707
373	3082.397468
374	3072.630248
375	3060.817274
376	3050.937615
377	3036.753188
378	3022.891904
379	3013.539981
380	2999.081624
381	2978.911733
382	2970.191125
383	2958.956674
384	2957.751205
385	2951.694298
386	2934.400285
387	2916.590938
388	2904.716647
389	2900.519066
390	2893.588995
391	2871.92759
392	2870.809659
393	2862.37865
394	2849.776811
395	2840.753337
396	2822.952512
397	2810.99886
398	2802.79346
399	2789.542259
400	2780.861472
401	2773.297749
402	2771.576979
403	2748.669014
404	2733.613912
405	2731.821013
406	2714.438075
407	2710.449126
408	2709.578541
409	2701.054025
410	2692.804001
411	2681.518295
412	2673.199351
413	2654.121809
414	2636.459778
415	2625.845158
416	2622.24364
417	2611.097281
418	2602.556616
419	2600.682706
420	2589.402769
421	2584.657738
422	2578.725606
423	2578.291493
424	2573.653908
425	2560.899252
426	2560.287284
427	2542.346958
428	2532.15255
429	2520.198444
430	2514.051568
431	2504.385763
432	2496.052484
433	2490.221765
434	2474.396531
435	2464.561836
436	2456.514815
437	2445.989914
438	2434.079757
439	2426.102701
440	2411.484083
441	2400.911915
442	2393.395535
443	2386.07933
444	2385.102474
445	2370.095269
446	2362.006359
447	2353.59979
448	2353.172125
449	2347.270554
450	2342.487939
451	2333.943243
452	2324.989663
453	2316.674805
454	2305.037663
455	2303.24781
456	2295.581731
457	2283.794402
458	2271.934752
459	2262.986888
460	2255.48284
461	2246.975047
462	2235.568677
463	2225.581225
464	2213.80901
465	2204.963289
466	2201.799492
467	2199.339347
468	2190.292284
469	2184.800007
470	2176.157932
471	2168.070627
472	2156.952884
473	2148.686224
474	2138.217875
475	2131.773651
476	2124.132384
477	2116.530612
478	2105.070835
479	2100.131458
480	2087.570316
481	2079.97351
482	2074.909536
483	2063.617273
484	2057.40392
485	2052.554752
486	2045.753886
487	2040.427134
488	2028.494594
489	2027.851573
490	2021.362567
491	2015.108012
492	2006.268694
493	2001.322772
494	1986.106928
495	1985.619293
496	1979.688607
497	1978.685216
498	1969.68754
499	1959.962976
